,Tomato Big(Indian) (KG),Tomato Small(Local) (KG),Tomato Small(Tunnel) (KG),Tomato Small(Indian) (KG),Potato Red (KG),Potato Red(Indian) (KG),Potato Red(Mude) (KG),Potato White (KG),Onion Dry (Indian) (KG),Carrot(Local) (KG),Carrot(Terai) (KG),Cabbage(Local) (KG),Cauli Local (KG),Raddish Red (KG),Raddish White(Local) (KG),Raddish White(Hybrid) (KG),Brinjal Long (KG),Brinjal Round (KG),Cow pea(Long) (KG),Cowpea(Short) (KG),Green Peas (KG),French Bean(Local) (KG),French Bean(Hybrid) (KG),French Bean(Rajma) (KG),Sword Bean (KG),Soyabean Green (KG),Bitter Gourd (KG),Bottle Gourd (KG),Pointed Gourd(Local) (KG),Snake Gourd (KG),Smooth Gourd (KG),Pumpkin (KG),Squash(Round) (KG),Turnip (KG),Okara (KG),Sweet Potato (KG),Barela (KG),Arum (KG),Christophine (KG),Brd Leaf Mustard (KG),Mustard Leaf (KG),Onion Green (KG),Mushroom(Kanya) (KG),Mushroom(Button) (KG),Asparagus (KG),Neuro (KG),Brocauli (KG),Sugarbeet (KG),Drumstick (KG),Red Cabbbage (KG),Lettuce (KG),Celery (KG),Mint (KG),Turnip A (KG),Tamarind (KG),Bamboo Shoot (KG),Tofu (KG),Gundruk (KG),Apple(Jholey) (KG),Apple(Fuji) (KG),Banana (Per Dozen),Lime (KG),Pomegranate (KG),Grapes(Black) (KG),Orange(Indian) (KG),Water Melon(Green) (KG),Sweet Orange (KG),Mandarin (KG),Pineapple (1 Pc),Cucumber(Local) (KG),Cucumber(Hybrid) (KG),Lemon (KG),Pear(Chinese) (KG),Papaya(Nepali) (KG),Papaya(Indian) (KG),Guava (KG),Mombin (KG),Kiwi (KG),Sarifa (KG),Avocado (KG),Amla (KG),Ginger (KG),Chilli Dry (KG),Chilli Green (KG),Chilli Green(Bullet) (KG),Chilli Green(Machhe) (KG),Chilli Green(Akbare) (KG),Capsicum (KG),Garlic Green (KG),Coriander Green (KG),Garlic Dry Chinese (KG),Garlic Dry Nepali (KG),Clive Dry (KG),Fish Fresh(Rahu) (KG),Fish Fresh(Bachuwa) (KG),Fish Fresh(Chhadi) (KG),Fish Fresh(Mungari) (KG),Tree Tomato (Kg),Tomato Big(Nepali) (KG),Pointed Gourd(Terai) (KG),Sponge Gourd (KG),Spinach Leaf (KG),Cress Leaf (KG),Fenugreek Leaf (KG),Yam (KG),Fennel Leaf (KG),Pear(Local) (KG),Bakula (KG),Parseley (KG),Squash(Long) (KG),Cabbage(Terai) (KG)
2023-10-15,37.67,32.67,36.0,32.67,62.33,34.5,43.75,43.5,75.5,120.0,74.25,55.75,109.0,65.0,35.0,45.0,35.0,55.0,124.0,75.0,276.67,63.75,65.0,265.0,75.0,95.0,63.75,65.0,55.75,35.0,110.0,45.0,65.75,75.0,75.75,75.0,75.75,65.0,22.33,55.0,45.0,95.0,165.0,375.0,550.0,75.0,200.0,75.0,190.0,226.67,65.0,325.0,550.0,75.0,145.0,95.0,115.0,275.0,270.0,315.0,145.0,180.0,410.0,410.0,140.0,65.0,135.0,335.0,165.0,101.25,65.0,45.0,235.0,75.0,95.0,90.0,55.0,250.0,225.0,250.0,65.0,145.0,475.0,130.0,130.0,85.0,276.67,155.0,290.0,133.33,230.0,268.75,190.0,375.0,275.0,250.0,260.0,133.33,,,,,,,,,,,,,
2023-10-16,34.0,28.0,37.4,27.5,62.5,34.5,44.0,42.5,75.25,115.0,76.67,55.0,95.0,75.0,35.0,45.0,40.0,56.67,115.0,86.67,225.0,55.0,55.0,235.0,56.67,76.67,65.0,66.67,65.0,35.0,95.0,45.0,56.67,76.67,76.0,66.67,75.0,66.67,17.5,86.67,45.0,96.67,165.0,425.0,525.0,85.0,175.0,75.0,190.0,200.0,96.67,375.0,550.0,76.67,146.67,96.67,125.0,275.0,290.0,365.0,146.67,135.0,425.0,410.0,145.0,66.67,140.0,335.0,165.0,84.0,56.67,46.67,235.0,66.67,116.67,90.0,56.67,250.0,175.0,250.0,66.67,137.5,475.0,135.0,146.67,86.67,250.0,155.0,290.0,135.0,245.0,256.67,175.0,375.0,275.0,250.0,260.0,135.0,,,,,,,,,,,,,
2023-10-17,31.6,28.6,37.4,28.33,62.5,35.0,44.2,43.5,76.4,112.0,85.0,55.0,93.0,65.0,29.0,40.0,35.0,55.0,100.0,75.0,275.0,55.0,55.0,225.0,75.0,85.0,76.0,63.33,70.0,35.0,85.0,37.5,65.0,76.67,85.0,66.67,75.0,65.0,12.5,76.67,46.67,96.67,154.0,325.0,475.0,85.0,150.0,75.0,190.0,190.0,95.0,375.0,475.0,76.67,146.67,96.67,126.67,283.33,270.0,346.67,145.0,175.0,400.0,410.0,140.0,66.67,135.0,335.0,165.0,78.0,56.67,46.67,235.0,56.67,115.0,90.0,56.67,250.0,225.0,250.0,66.67,140.0,475.0,130.0,145.0,85.0,250.0,155.0,290.0,156.67,245.0,256.67,190.0,375.0,275.0,250.0,260.0,135.0,45.0,75.0,75.0,275.0,275.0,275.0,145.0,275.0,110.0,,,,
2023-10-18,36.0,28.4,37.4,33.33,62.5,39.0,44.2,43.5,80.0,115.0,85.0,65.0,116.0,65.0,30.0,35.0,30.0,55.0,95.0,85.0,275.0,55.0,55.0,235.0,75.0,75.0,65.0,65.0,65.0,36.67,95.0,35.0,55.0,76.67,85.0,65.0,75.0,65.0,12.4,86.67,45.0,90.0,145.0,324.0,525.0,75.0,144.0,75.0,210.0,190.0,96.67,375.0,475.0,76.67,146.67,93.33,126.67,275.0,270.0,335.0,145.0,175.0,365.0,410.0,145.0,66.67,135.0,335.0,165.0,76.0,43.33,45.0,235.0,55.0,135.0,90.0,56.67,250.0,250.0,250.0,65.0,140.0,465.0,136.0,155.0,95.0,250.0,155.0,275.0,175.0,248.0,267.5,190.0,375.0,275.0,250.0,250.0,135.0,45.0,65.0,65.0,235.0,235.0,235.0,,235.0,96.67,,,,
2023-10-19,35.0,32.75,41.0,32.5,62.5,38.0,44.25,43.5,81.6,105.0,75.0,55.0,120.0,65.0,25.0,31.0,35.0,55.0,95.0,86.67,275.0,35.0,35.0,225.0,76.67,76.67,75.0,55.0,76.0,45.0,85.0,35.0,76.67,76.67,75.0,65.0,65.0,65.0,17.5,76.67,45.0,96.67,150.0,305.0,525.0,76.67,135.0,76.67,210.0,175.0,86.67,375.0,425.0,75.0,146.67,96.67,125.0,275.0,290.0,335.0,145.0,143.33,375.0,410.0,140.0,66.67,155.0,335.0,145.0,85.0,30.0,45.0,230.0,56.67,116.67,90.0,55.0,250.0,225.0,225.0,76.67,136.0,465.0,145.0,155.0,125.0,300.0,170.0,275.0,175.0,245.0,270.0,190.0,375.0,275.0,250.0,250.0,130.0,45.0,,65.0,235.0,235.0,235.0,,235.0,95.0,,,,
2023-10-20,33.67,44.0,51.6,45.0,68.0,37.0,44.0,43.5,83.0,106.67,75.0,56.0,112.0,65.0,27.5,35.0,25.0,55.0,95.0,86.67,240.0,35.0,35.0,266.67,75.0,76.67,65.0,46.67,65.0,45.0,85.0,35.0,66.67,76.67,75.0,65.0,65.0,55.0,14.0,55.0,45.0,75.0,146.0,334.0,575.0,76.67,125.0,76.67,210.0,190.0,85.0,350.0,450.0,76.67,146.67,96.67,126.67,275.0,290.0,335.0,146.67,138.0,375.0,410.0,135.0,66.67,135.0,340.0,155.0,76.0,30.0,46.67,235.0,56.67,116.67,90.0,56.67,250.0,225.0,250.0,66.67,140.0,475.0,170.0,190.0,130.0,250.0,155.0,265.0,125.0,245.0,270.0,190.0,375.0,275.0,250.0,255.0,130.0,45.0,,55.0,235.0,235.0,235.0,,235.0,96.67,145.0,,,
2023-10-21,38.0,50.0,63.0,54.0,72.5,37.0,44.0,43.5,83.5,106.67,75.0,65.0,110.0,76.67,25.0,28.75,25.0,55.0,85.0,75.0,275.0,29.0,30.0,235.0,65.0,75.0,65.0,35.0,65.0,42.5,85.0,42.5,65.0,75.0,75.0,65.0,66.0,65.0,21.25,76.67,35.0,135.0,154.0,402.0,575.0,85.0,123.33,75.0,210.0,190.0,85.0,375.0,475.0,75.0,146.67,96.67,126.67,275.0,290.0,335.0,155.0,160.0,375.0,410.0,130.0,66.67,135.0,335.0,165.0,86.0,30.0,46.67,230.0,56.67,115.0,90.0,55.0,250.0,225.0,250.0,66.67,150.0,465.0,155.0,195.0,145.0,250.0,170.0,325.0,122.5,245.0,270.0,160.0,375.0,275.0,250.0,245.0,135.0,,,55.0,265.0,265.0,265.0,,265.0,96.67,,,,
2023-10-22,45.0,55.0,67.0,55.0,82.5,37.0,47.5,47.5,87.5,130.0,75.0,75.0,110.0,75.0,35.0,45.0,35.0,56.67,95.0,86.67,275.0,26.67,25.0,225.0,65.0,76.67,85.0,36.67,66.67,45.0,75.0,40.0,66.67,76.67,76.67,65.0,65.0,65.0,,86.67,35.0,135.0,145.0,430.0,575.0,,125.0,76.67,210.0,175.0,86.67,375.0,475.0,76.67,146.67,96.67,126.67,275.0,290.0,335.0,156.67,175.0,375.0,410.0,130.0,66.67,135.0,335.0,165.0,95.0,46.67,46.67,235.0,56.67,116.67,90.0,66.67,250.0,250.0,250.0,66.67,140.0,475.0,155.0,170.0,,250.0,155.0,450.0,225.0,245.0,290.0,190.0,365.0,265.0,250.0,240.0,130.0,75.0,,,265.0,265.0,265.0,,265.0,113.33,,650.0,,
2023-10-23,46.25,60.0,75.0,55.0,95.0,35.6,48.0,68.33,94.0,146.67,85.0,75.0,125.0,75.0,27.5,35.0,53.33,56.67,85.0,75.0,225.0,25.0,25.0,225.0,66.67,,86.67,35.0,66.67,,86.67,35.0,65.0,76.67,66.67,,110.0,,,85.0,35.0,135.0,90.0,425.0,525.0,,135.0,75.0,,,85.0,375.0,,75.0,145.0,96.67,126.67,,,335.0,155.0,165.0,375.0,410.0,135.0,65.0,145.0,335.0,165.0,122.0,55.0,45.0,235.0,55.0,115.0,90.0,56.67,250.0,,250.0,,150.0,475.0,146.67,,,250.0,,425.0,235.0,250.0,290.0,,365.0,265.0,250.0,240.0,,75.0,,,265.0,,265.0,,,,145.0,,,
2023-10-24,50.0,55.0,70.0,,,39.0,,,97.5,145.0,,65.0,113.33,,,31.0,,,96.67,,,25.0,25.0,,,,96.67,,56.67,,95.0,35.0,65.0,,65.0,,,,22.5,85.0,45.0,,66.0,375.0,,,135.0,,,,85.0,,,,145.0,96.67,126.67,275.0,,335.0,155.0,165.0,375.0,410.0,145.0,65.0,145.0,335.0,165.0,110.0,56.67,45.0,235.0,,115.0,,,250.0,,250.0,,155.0,475.0,130.0,,,,150.0,,233.33,256.67,,,365.0,265.0,250.0,240.0,130.0,75.0,,,,,,,,,,,,
