,Nepali,Min Price,Max Price,Avg Price
Tomato Big(Nepali) (KG),गोलभेडा ठूलो(नेपाली) (के.जी.),70,80,75.00
Tomato Big(Indian) (KG),गोलभेडा ठूलो(भारतीय) (केजी),40,50,45.00
Tomato Small(Local) (KG),गोलभेडा सानो(लोकल) (के.जी.),50,60,55.00
Tomato Small(Tunnel) (KG),गोलभेडा सानो(टनेल) (के जी),55,75,67.00
Tomato Small(Indian) (KG),गोलभेडा सानो(भारतीय) (के जी),50,60,55.00
Potato Red (KG),आलु रातो (के.जी.),80,85,82.50
Potato Red(Indian) (KG),आलु रातो(भारतीय) (के जी),36,38,37.00
Potato Red(Mude) (KG),आलु रातो(मुडे) (केजी),45,50,47.50
Potato White (KG),आलु सेतो (के.जी.),45,50,47.50
Onion Dry (Indian) (KG),प्याज सुकेको (भारतीय) (के.जी.),85,90,87.50
Carrot(Local) (KG),गाजर(लोकल) (के.जी.),120,140,130.00
Carrot(Terai) (KG),गाजर(तराई) (केजी),70,80,75.00
Cabbage(Local) (KG),बन्दा(लोकल) (के.जी.),70,80,75.00
Cauli Local (KG),काउली स्थानिय (के.जी.),100,120,110.00
Raddish Red (KG),मूला रातो (के.जी.),70,80,75.00
Raddish White(Local) (KG),मूला सेतो(लोकल) (के.जी.),30,40,35.00
Raddish White(Hybrid) (KG),सेतो मूला(हाइब्रीड) (केजी),40,50,45.00
Brinjal Long (KG),भन्टा लाम्चो (के.जी.),30,40,35.00
Brinjal Round (KG),भन्टा डल्लो (के.जी.),50,60,56.67
Cow pea(Long) (KG),बोडी(तने) (के.जी.),90,100,95.00
Cowpea(Short) (KG),मकै बोडी (केजी),80,90,86.67
Green Peas (KG),मटरकोशा (के.जी.),250,300,275.00
French Bean(Local) (KG),घिउ सिमी(लोकल) (के.जी.),20,30,26.67
French Bean(Hybrid) (KG),घिउ सिमी(हाइब्रीड) (केजी),20,30,25.00
French Bean(Rajma) (KG),घिउ सिमी(राजमा) (केजी),200,250,225.00
Sword Bean (KG),टाटे सिमी (के.जी.),60,70,65.00
